#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years)
,American Revolution,David C.G. Dutcher,American History,No,No,English,56,Chicago,No,No,No,No,,N/A,N/A,N/A
,Ice Bound,Dr. Jerri Nielsen,Memior,No,Yes,English,362,Chicago,Yes,No,No,No,,N/A,N/A,N/A
,Age Of Ambition,Evan Osnos,China,No,Yes,English,371,Chicago,Yes,No,No,No,,N/A,N/A,N/A
,Teacher Says,Evelyn Porreca Vuko,Teaching,No,No,English,290,Boston,No,No,No,No,,N/A,N/A,N/A
,Gettysburg,Harry W. Pfanz,Civil War,No,No,English,60,Chicago,No,No,No,No,,N/A,N/A,N/A
,Lost City Of The Incas,Hiram Bingham,Native Americans,No,No,English,254,Boston,No,No,No,No,,N/A,N/A,N/A
1,Wool,Hugh Howey,Fiction,No,Yes,English,532,Boston,Yes!,No,No,No,,N/A,N/A,N/A
,When Baghdad Ruled The Muslim World,Hugh Kennedy,History,No,No,English,296,Chicago,No,No,No,No,,N/A,N/A,N/A
,History Of The Civil War,James I. Robertson Jr.,Civil War,No,No,English,63,Chicago,No,No,No,No,,N/A,N/A,N/A
,Downton Abby A Celebration,Jessica Fellows,TV and movie,No,No,English,317,Chicago,No,No,No,No,,N/A,N/A,N/A
,Che,Jon Lee Anderson & Jose Hernandez,South American History,No,No,English,421,Chicago,No,No,No,No,,N/A,N/A,N/A
,Treason By The Book,Jonathan D. Spence,China,No,No,English,247,Chicago,No,No,No,No,,N/A,N/A,N/A
,Evil,Julia Shaw,Science,No,Yes,English,264,Chicago,Yes,No,No,No,,N/A,N/A,N/A
,Yellow Woman And A Beauty Of The Spirit,Leslie Marmon Silko,Native Americans,No,No,English,200,Chicago,No,No,No,No,,N/A,N/A,N/A
,Al Tanto,Many,Fiction,No,Yes,English,133,Chicago,Yes,No,No,No,,N/A,N/A,N/A
,Inhuman Traffick,Rafe Blaufarb & Liz Clarke,History,No,No,English,179,Chicago,No,No,No,No,,N/A,N/A,N/A
,Lincoln and his Word,Richard Lawrence Miller,Civil War,No,No,English,533,Chicago,No,No,No,No,,N/A,N/A,N/A
,Thousand Pieces Of Gold,Ruthanne Lum McCunn,China,No,Yes,English,308,Boston,Yes!,No,No,No,,N/A,N/A,N/A
,Chess,Yury Shulman,Practical Skills,Yes,No,English,205,Chicago,No,No,No,No,"January 1, 2007","January 1, 2007",0,0
,Wicked The Grimmerie,David Cote,Theatre,Yes,No,English,189,Chicago,No,No,No,No,"October 18, 2010","October 18, 2010",0,0
1,Persepolis The Story Of A Childhood,Marjane Satrapi,Gender Studies,Yes,No,English,153,Chicago,No,No,No,No,"January 1, 2012","January 1, 2012",0,0
2,Persepolis The Story Of A Return,Marjane Satrapi,Gender Studies,Yes,No,English,187,Chicago,No,No,No,No,"January 1, 2012","January 1, 2012",0,0
,El Escorial,Jean-Francois Lasnier,Travel,Yes,No,English,64,Chicago,No,No,No,No,"July 20, 2015","January 11, 2022",2367,6.484931507
,Espania,Emma Bradford,Travel,Yes,No,English& Spanish,31,Chicago,No,No,No,No,"September 1, 2015","September 1, 2015",0,0
,iOS 8 Swift Programming Cookbook,Vandad Nahavandipoor,Coding,Yes,No,English,862,Chicago,No,No,No,No,"December 25, 2015","December 25, 2015",0,0
,1858,Bruce Chadwick,Civil War,Yes,No,English,300,Chicago,No,No,No,No,"January 1, 2016","November 29, 2020",1794,4.915068493
,My Friend Dahmer,Derf Backderf,Memior,Yes,No,English,224,Chicago,No,No,No,No,"January 1, 2016","January 1, 2016",0,0
,History Makers,Ian Whitelaw & Julie Whitaker,Biography,Yes,No,English,247,Chicago,No,No,No,No,"January 1, 2016","May 19, 2021",1965,5.383561644
,The Children's Bible,Many,Religion,Yes,Yes,English,510,Chicago,Yes,No,No,No,"January 1, 2016","January 1, 2016",0,0
,Holy Bible,Many,Religion,Yes,Yes,English,1466,Chicago,Yes,Yes,Yes,No,"January 1, 2016","January 1, 2016",0,0
,A History Of The Wife,Marilyn Yalom,Anthropology,Yes,No,English,400,Chicago,No,No,No,No,"January 1, 2016","November 28, 2020",1793,4.912328767
,Avatar: The Lost Adventures,Michael DiMartino & Bryan Konietzko,TV and movie,Yes,No,English,226,Chicago,No,No,No,No,"January 1, 2016","March 26, 2021",1911,5.235616438
,The Way To Rainy Mountain,N. Scott Monaday,Native Americans,Yes,No,English,89,Chicago,No,No,No,No,"January 1, 2016","November 30, 2019",1429,3.915068493
,The Thrilling Adventures of Lovelace And Babage,Sydney Padua,Biography,Yes,No,English,317,Boston,No,No,No,No,"January 1, 2016","January 1, 2016",0,0
,It's All In The Frijoles,Yolanda Nava,South American History,Yes,No,English,293,Chicago,No,No,No,No,"January 1, 2016","March 25, 2021",1910,5.232876712
,Abriendo Puertas,Bowen y Bowen,Classic,Yes,Yes,Spanish,638,Chicago,Yes,No,No,No,"September 1, 2016","September 1, 2016",0,0
,"Natasha, Pierre, & the Great Comet of 1812",Many,Theatre,Yes,No,English,208,Chicago,No,No,No,No,"July 1, 2017","July 1, 2017",N/A,N/A
,Linear Algebra And It's Aplications,"David C. Lay, Steven R. Lay, & Judi J. McDonald",Textbook,Yes,No,English,494,Boston,No,No,No,No,"September 1, 2017","September 1, 2017",0,0
,How Humans Evolved,Robert Boyd & Joan B. Silk,Textbook,Yes,No,English,440,Chicago,No,No,No,No,"September 1, 2017","September 1, 2017",0,0
,Applied Statistics And Probability For Engineers,Douglas C. Montgomery & George C. Runger,Textbook,Yes,No,English,734,Boston,No,No,No,No,"February 1, 2018","February 1, 2018",0,0
,The Nature Of Biology,Dr. Jill Beyette,Textbook,Yes,No,English,152,Chicago,No,No,No,No,"February 1, 2018","February 1, 2018",0,0
,Biology,"Kenneth A. Mason, Jonathan B. Losos, & Susan R. Singer",Textbook,Yes,No,English,1281,Chicago,No,No,No,No,"February 1, 2018","February 1, 2018",0,0
,Sleep Paralysis,Shelly R. Adler,Textbook,Yes,No,English,136,Chicago,No,No,No,No,"February 1, 2018","February 1, 2018",0,0
,China,"Damian Harper, Piera Chen, Megan Eaves, & David Eimer",Travel,Yes,No,English,1036,Chicago,No,No,No,No,"July 1, 2018","July 1, 2018",0,0
,Lincoln And Medicine,Glenna R. Schoeder-Lein,Civil War,Yes,No,English,89,Chicago,No,No,No,No,"August 1, 2018","January 6, 2022",1254,3.435616438
,Idiot's Guide To Tiny House,Gabriella & Andrew Morrison,Practical Skills,Yes,No,English,272,Chicago,No,No,No,No,"January 1, 2019","January 1, 2019",0,0
,Dreaming,Barbara Tedlock,Textbook,Yes,No,English,261,Chicago,No,No,No,No,"February 1, 2019","February 1, 2019",0,0
,The Art Of Language Invention,David J. Peterson,Textbook,Yes,No,English,265,Chicago,No,No,No,No,"February 1, 2019","February 1, 2019",#ERROR!,N/A
,The Language Construction Kit,Mark Rosenfelder,Textbook,Yes,No,English,249,Chicago,No,No,No,No,"February 1, 2019","February 1, 2019",0,0
,Geological Aspects of Key Archaeological Sites In Northern Kentucky And Southern Ohio,Timothy S. Dalbey,Textbook,Yes,No,English,119,Chicago,No,No,No,No,"February 1, 2019","February 1, 2019",0,0
,C++,Tony Gaddis,Textbook,Yes,No,English,1283,Boston,No,No,No,No,"February 1, 2019","February 1, 2019",0,0
,This Land Was Theris,Wendell H. Oswalt,Textbook,Yes,No,English,485,Chicago,No,No,No,No,"February 1, 2019","February 1, 2019",0,0
,Professor Stewart's Casebook Of Mathematical Mysteries,Ian Stewart,Math,Yes,No,English,307,Chicago,No,No,No,No,"July 1, 2019",,-43647,-119.5808219
,They Came Before Columbus,Ivan van Sertima,Native Americans,Yes,No,English,272,Chicago,No,No,No,No,"July 1, 2019",,-43647,-119.5808219
,Volta,Many,Theatre,Yes,No,English,63,Chicago,No,No,No,No,"July 1, 2019","July 1, 2019",0,0
,Anthropology Explored,Many,Anthropology,Yes,No,English,449,Chicago,No,No,No,No,"July 1, 2019",,-43647,-119.5808219
,Museum Of Lost Art,Noah Charney,Art,Yes,No,English,280,Chicago,No,No,No,No,"July 1, 2019",,-43647,-119.5808219
,The Jungle,Upton Sinclair & Kristina Gehrmann,Classic,Yes,No,English,378,Chicago,No,No,No,No,"July 1, 2019","July 31, 2019",30,0.08219178082
,The Good Women Of China,Xinran,China,Yes,No,English,242,Chicago,No,No,No,No,"July 1, 2019","May 11, 2020",315,0.8630136986
,Gender Your Guide,Dr. Lee Airton,Gender Studies,Yes,No,English,214,Chicago,No,No,No,No,"July 20, 2019",,-43666,-119.6328767
,The Cher Show,Many,Theatre,Yes,No,English,33,Chicago,No,No,No,No,"July 20, 2019","July 20, 2019",0,0
,Urban Tantra,Barbara Carrellas,Textbook,Yes,No,English,259,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Yes means Yes,Jaclyn Friedman & Jessica Valenti,Textbook,Yes,No,English,319,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,The Ethical Slut,Janet W. Hardy & Dossie Easton,Textbook,Yes,No,English,295,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Living Language,Laura M. Ahearn,Textbook,Yes,No,English,304,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Guide To Gettng It On,Paul Joannides,Textbook,Yes,No,English,1080,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Anthropology And Religion,Robert L. Winzeler,Textbook,Yes,No,English,280,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Discovering Human Sexuality,"Simon LeVay, Janice Baldwin, & John Baldwin",Textbook,Yes,No,English,557,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Sexuality: A Very Short Introduction,Veronique Mottier,Gender Studies,Yes,No,English,127,Chicago,No,No,No,No,"September 1, 2019","September 1, 2019",0,0
,Son Of The Revolution,Liang Heng & Judith Shapiro,China,Yes,No,English,292,Chicago,No,No,No,No,"October 1, 2019","October 31, 2019",30,0.08219178082
1,Maus I,Art Spiegelman,WWII,Yes,No,English,159,Chicago,No,No,No,No,"October 17, 2019","October 17, 2019",0,0
2,Maus II,Art Spiegelman,WWII,Yes,No,English,136,Chicago,No,No,No,No,"October 17, 2019","October 17, 2019",0,0
,The Girls Of Atomic City,Denise Kiernan,WWII,Yes,Yes,English,315,Chicago,Yes!,No,No,No,"October 17, 2019","November 12, 2019",26,0.07123287671
,Mao's Last Dancer,Li Cunxin,China,Yes,Yes,English,492,Chicago,Yes!,No,No,No,"October 17, 2019","November 30, 2019",44,0.1205479452
,The Hot Sauce Cookbook,Robb Walsh,Practical Skills,Yes,No,English,140,Chicago,No,No,No,No,"October 17, 2019",,-43755,-119.8767123
,Red Nile,Robert Twigger,Egyptian Studies,Yes,No,English,449,Chicago,No,No,No,No,"October 17, 2019","August 12, 2022",1030,2.821917808
,Chinese Society And Culture,Yao Baorong & Wei Zhou,China,Yes,No,English,479,Chicago,No,No,No,No,"October 17, 2019","February 5, 2020",111,0.304109589
,They Called Us Enemy,"George Takei, Justin Eisinger, & Steven Scott",WWII,Yes,No,English,204,Chicago,No,No,No,No,"November 1, 2019","November 12, 2019",11,0.0301369863
,Genesis,Edward O. Wilson,Science,Yes,Yes,English,125,Chicago,Yes,No,No,No,"November 15, 2019",,-43784,-119.9561644
,The Neandertals,Erik Trinkaus & Pat Shipman,Anthropology,Yes,No,English,419,Chicago,No,No,No,No,"November 15, 2019",,-43784,-119.9561644
,Harriet Beecher Stowe,Joan D. Hedrick,American History,Yes,No,English,398,Chicago,No,No,No,No,"November 15, 2019",,-43784,-119.9561644
,Come From Away,Many,Theatre,Yes,No,English,35,Chicago,No,No,No,No,"November 15, 2019","November 15, 2019",0,0
,Linux Pocket Guide,Daniel J. Barrnett,Coding,Yes,No,English,248,Chicago,No,No,No,No,"December 25, 2019","December 25, 2019",0,0
,Becoming RBG,Debbie Levy,RBG,Yes,No,English,191,Chicago,No,No,No,No,"December 25, 2019",,-43824,-120.0657534
,Python Pocket Guide,Mark Lutz,Coding,Yes,No,English,242,Chicago,No,No,No,No,"December 25, 2019","December 25, 2019",0,0
,Baha'i Prayers,Many,Religion,Yes,No,English,28,Chicago,No,No,No,No,"January 13, 2020","January 13, 2020",0,0
,Algorithms,Kenneth A. Berman & Jerome L. Paul,Textbook,Yes,No,English,443,Chicago,No,No,No,No,"February 1, 2020","February 1, 2020",0,0
,The Enigmas of Easter Island,John Flenley and Paul Bahn,Anthropology,Yes,No,English,213,Chicago,No,No,No,No,"February 20, 2020",,-43881,-120.2219178
,Multisensory Teaching of Basic Language Skills,Suzanne Carreker & Judith R. Birsh,Teaching,Yes,No,English,191,Chicago,No,No,No,No,"March 1, 2020",,-43891,-120.2493151
,The Martian,Andy Weir,Fiction,Yes,Yes,English,435,Chicago,Yes!,No,No,No,"April 25, 2020","April 25, 2020",0,0
,The Long Pursuit,Roy Morris Jr.,Civil War,Yes,No,English,217,Chicago,No,No,No,No,"July 20, 2020","July 7, 2022",717,1.964383562
,Designs For The Pluriverse,Arturo Escobar,Textbook,Yes,No,English,227,Chicago,No,No,No,No,"September 1, 2020","September 1, 2020",0,0
,Archaeology,Colin Renfrew & Paul Bahn,Textbook,Yes,No,English,595,Chicago,No,No,No,No,"September 1, 2020","September 1, 2020",0,0
,Practical Strategies,Mike Markel & Stuart A. Selber,Textbook,Yes,No,English,446,Chicago,No,No,No,No,"September 1, 2020","September 1, 2020",0,0
,Born A Crime,Trevor Noah,Memior,Yes,Yes,English,289,Chicago,Yes!,No,No,No,"October 1, 2020",,-44105,-120.8356164
,The History Of The Original Peoples Of Northern Canada,Keith J. Crowe,Native Americans,Yes,No,English,264,Chicago,No,No,No,No,"October 15, 2020","December 21, 2020",67,0.1835616438
,Survival Chinesee,Boye Lafayette De Mente,Language,Yes,No,English,158,Chicago,No,No,No,No,"November 15, 2020","November 15, 2020",0,0
2,Heartstopper 2,Alice Oseman,Fiction,Yes,No,English,320,Chicago,No,No,No,No,"December 25, 2020",,-44190,-121.0684932
,Edgar Allan Poe Classic Stories,Edgar Allan Poe,Fiction,Yes,Yes,English,348,Chicago,Yes,No,No,No,"February 20, 2021",,-44247,-121.2246575
1,Six Of Crows,Leigh Bardugo,Fiction,Yes,Yes,English,465,Chicago,Yes!,No,No,No,"May 7, 2021","August 27, 2022",477,1.306849315
,57 Practical Programs & Games In Basic,Ken Tracton,Coding,Yes,No,English,204,Chicago,No,No,No,No,"June 2, 2021","June 2, 2021",0,0
,Unnatural Selection,Mara Hvistendahl,Science,Yes,Yes,English,262,Chicago,Yes!,No,No,No,"July 7, 2021",,-44384,-121.6
,China Mountain Zhang,Maureen F. McHugh,Fiction,Yes,No,English,311,Chicago,No,No,No,No,"July 7, 2021",,-44384,-121.6
,The Mushroom At The End Of The World,Anna Lowenhaupt Tsing,Textbook,Yes,No,English,288,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Beijing Comrades,Bei Tong,Fiction,Yes,No,English,380,Chicago,No,No,No,No,"September 1, 2021","February 4, 2022",156,0.4273972603
,Of Beards And Men,Christopher Oldstone-Moore,History,Yes,No,English,292,Chicago,No,No,No,No,"September 1, 2021","December 21, 2021",111,0.304109589
,Ordinary Affects,Kathleen Stewart,Textbook,Yes,No,English,129,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Forensic Anthropology,Natalie R. Langley & MariaTeresa A. Tersigni-Tarrant,Textbook,Yes,No,English,361,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Designs For An Anthropology Of The Contemporary,Paul Rainbow & George E. Marcus,Textbook,Yes,No,English,121,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Formal Languages And Automata,Peter Linz,Textbook,Yes,No,English,375,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Mastering Cloud Computing,"Rajkumar Buyya, Christian Vecchiola, & S. Thamarai Selvi",Textbook,Yes,No,English,425,Chicago,No,No,No,No,"September 1, 2021",,-44440,-121.7534247
,Hadoop,Tom White,Textbook,Yes,No,English,700,Chicago,No,No,No,No,"September 1, 2021","September 1, 2021",0,0
,Baba,Belle Yang,China,Yes,No,English,208,Chicago,No,No,No,No,"November 9, 2021","February 2, 2022",85,0.2328767123
,Sky Burial,Xinran,China,Yes,No,English,158,Chicago,No,No,No,No,"November 9, 2021","January 20, 2022",72,0.197260274
,My Country And My People,Lin Yutang,China,Yes,No,English,348,Chicago,No,No,No,No,"November 9, 2021","October 9, 2022",334,0.9150684932
1,The Grandmaster Of Demonic Cultivation Vol 1,Mo Xiang Tong Xiu,MXTX,Yes,No,English,350,Chicago,No,No,No,No,"December 14, 2021","December 14, 2021",0,0
1,Heaven Official's Blessing Vol 1,Mo Xiang Tong Xiu,MXTX,Yes,No,English,372,Chicago,No,No,No,No,"December 14, 2021",,-44544,-122.0383562
1,The Scum Villain's Self-Saving System Vol 1,Mo Xiang Tong Xiu,MXTX,Yes,No,English,291,Chicago,No,No,No,No,"December 14, 2021",,-44544,-122.0383562
2,Heaven Official's Blessing Vol 2,Mo Xiang Tong Xiu,MXTX,Yes,No,English,389,Chicago,No,No,No,No,"February 15, 2022","June 15, 2022",120,0.3287671233
,Returning to Reims,Dider Eribon,Anthropology,Yes,No,English,245,Chicago,No,No,No,No,"March 3, 2022","July 17, 2022",136,0.3726027397
,The Sumage Solution,G.L. Carriger,Fiction,Yes,Yes,English,305,Chicago,Yes!,No,No,No,"March 3, 2022","June 28, 2022",117,0.3205479452
,House Of Leaves,Mark Z. Danielewski,Fiction,Yes,No,English,662,Chicago,No,No,No,No,"April 7, 2022","May 25, 2022",48,0.1315068493
2,The Scum Villain's Self-Saving System Vol 2,Mo Xiang Tong Xiu,MXTX,Yes,No,English,302,Chicago,No,No,No,No,"April 19, 2022","July 24, 2022",96,0.2630136986
2,The Grandmaster Of Demonic Cultivation Vol 2,Mo Xiang Tong Xiu,MXTX,Yes,No,English,351,Chicago,No,No,No,No,"May 18, 2022","June 27, 2022",40,0.1095890411
,How to be Drawn,Terrance Hayes,Poetry,Yes,No,English,96,Chicago,No,No,No,No,"July 2, 2022","August 3, 2022",32,0.08767123288
,Gender Queer,Maia Kobabe,Memior,Yes,No,English,243,Chicago,No,No,No,No,"July 5, 2022","July 5, 2022",0,0
2,Lore Olympus Vol 2,Rachel Smythe,Fiction,Yes,No,English,368,Chicago,No,No,No,No,"July 10, 2022","July 24, 2022",14,0.03835616438
3,Heaven Official's Blessing Vol 3,Mo Xiang Tong Xiu,MXTX,Yes,No,English,415,Chicago,No,No,No,No,"July 12, 2022","October 11, 2022",91,0.2493150685
,Historic Walks In Old Boston,John Harris,Travel,Yes,No,English,317,Boston,No,No,No,No,"July 18, 2022",N/A,N/A,N/A
,Not For Tourists Guide To Boston,Not For Tourists,Travel,Yes,No,English,235,Boston,No,No,No,No,"July 18, 2022",N/A,N/A,N/A
,Did That Just Happen?!,Dr. Stephanie Pinder-Amaker & Dr. Lauren Wadsworth,Practical Skills,Yes,Yes,English,180,Boston,Yes,No,No,No,"August 19, 2022",N/A,N/A,N/A
3,The Grandmaster Of Demonic Cultivation Vol 3,Mo Xiang Tong Xiu,MXTX,Yes,No,English,321,Boston,No,No,No,No,"August 29, 2022","August 29, 2022",0,0
3,Lore Olympus Vol 3,Rachel Smythe,Fiction,Yes,No,English,384,Boston,No,No,No,No,"October 12, 2022","October 20, 2022",8,0.02191780822
,The Gettysburg Address,Abraham Lincoln,Civil War,Yes,No,English,89,Chicago,No,No,No,No,,,0,0
1,HeartStopper,Alice Oseman,Fiction,Yes,No,English,263,Chicago,No,No,No,No,,,0,0
3,Heartstopper 3,Alice Oseman,Fiction,Yes,No,English,351,Chicago,No,No,No,No,,,0,0
4,Heartstopper 4,Alice Oseman,Fiction,Yes,No,English,367,Chicago,No,No,No,No,,,0,0
,Artemis,Andy Weir,Fiction,Yes,Yes,English,305,Chicago,Yes,No,No,No,,"July 31, 2019",43677,119.6630137
,Spark,Bill Chambers & Matei Zaharia,Textbook,Yes,No,English,559,Chicago,No,No,No,No,,,0,0
,Sex At Dawn,Christopher Ryan & Cacilda Jetha,Science,Yes,Yes,English,312,Chicago,Yes!,No,No,No,,"August 3, 2022",44776,122.6739726
,Demystifying Disability,Emily Ladau,History,Yes,Yes,English,149,Boston,Yes,No,No,No,,,0,0
,Proof Of Me,Erica Plouffe Lazure,Fiction,Yes,No,English,248,Chicago,No,No,No,No,,,0,0
,Trabajo Y Vida,Garfinkel Latorre,Language,Yes,No,English,184,Chicago,No,No,No,No,,,0,0
1,Fullmetal Alchemist,Hiromu Arakawa,Fiction,Yes,No,English,269,Chicago,No,No,No,No,,,0,0
,Spanish For Oral And Written Review,Iglesias-Meiden,Textbook,Yes,No,English,429,Chicago,No,No,No,No,,,0,0
,Inherit The Wind,Jerome Lawrence & Robert E. Lee,Play,Yes,Yes,English,129,Chicago,Yes,No,No,No,,,0,0
,American Indian Archaeology,Kenneth Barnett Tankersley & Robert Brand Newman,Textbook,Yes,No,English,295,Chicago,No,No,No,No,,,0,0
,Fire Logic,Laurie J. Marks,Fiction,Yes,No,English,359,Chicago,No,No,No,No,,,0,0
1,Lore Olympus vol 1,Rachel Smythe,Fiction,Yes,No,English,384,Chicago,No,No,No,No,,,0,0
2,Prince's Gambit,C.S. Pacat,Fiction,No,Yes,English,404,Boston,Yes,No,No,No,"October 24, 2022",N/A,N/A,N/A
,Brickmakers,Selva Almada,Fiction,No,No,English,181,Boston,No,No,No,No,"October 27, 2022",N/A,N/A,N/A
,The Alignment Problem,Brian Christian,Coding,No,Yes,English,329,Boston,Yes,No,No,No,"October 31, 2022",N/A,N/A,N/A
,Geronimo,Geronimo,Native Americans,No,Yes,English,170,Boston,Yes,Rec,Yes,Rec,"July 28, 2022",N/A,N/A,N/A
,The Day Lincoln Was Shot,Jim Bishop,Civil War,No,Yes,English,304,Chicago,Yes,Rec,Yes,Rec,"July 28, 2022",N/A,N/A,N/A
,Pearl Of China,Anchee Min,Fiction,No,Yes,English,275,Chicago,Yes,Rec,Rec,Rec,"July 30, 2022",N/A,N/A,N/A
,The Secret Life Of Bees,Sue Monk Kidd,Fiction,No,Yes,English,302,Chicago,Yes,Rec,Rec,Rec,"July 30, 2022",N/A,N/A,N/A
,"I, Rigoberta Menchu",Rigoberta Menchu,South American History,Yes,Yes,English,289,Chicago,Yes,Rec,Yes,Rec,"August 31, 2022","November 13, 2022",74,0.202739726
2,The Last Empress,Anchee Min,Fiction,No,Yes,English,308,Boston,Yes,Rec,Rec,Rec,"September 6, 2022",N/A,N/A,N/A
,Children Of Ash And Elm,Niel Price,History,No,Yes,English,509,Boston,Yes,Rec,Yes,Rec,"October 5, 2022",N/A,N/A,N/A
,Two Lives,Vikram Seth,WWII,No,Yes,English,503,Chicago,Yes,Rec,Rec,Yes,"January 1, 2016",N/A,N/A,N/A
,The Search For Modern China,Jonathan D. Spence,China,No,Yes,English,747,Chicago,Yes,Rec,Rec,Yes,"May 5, 2021",N/A,N/A,N/A
,Phasers On Stun!,Ryan Britt,Star Trek,No,Yes,English,336,Boston,Yes,Rec,Rec,Yes,"July 13, 2022",N/A,N/A,N/A
,The Hundred Secret Senses,Amy Tan,Fiction,No,Yes,English,358,Boston,Yes,Rec,Rec,Yes,"July 30, 2022",N/A,N/A,N/A
,Lock The Doors,Vincent Ralph,Fiction,No,Yes,English,388,Chicago,Yes,Rec,Yes,Yes,"May 29, 2022",N/A,N/A,N/A
,I Am Not Your Perfect Mexican Daughter,Erika L. Sanchez,Fiction,No,Yes,English,340,Chicago,Yes,Rec,Yes,Yes,"July 28, 0202",N/A,N/A,N/A
,Victoria,Daisy Goodwin,Fiction,No,Yes,English,404,Chicago,Yes,Rec,Yes,Yes,"July 20, 2015",N/A,N/A,N/A
,The Duchess,Amanda Foreman,Biography,No,Yes,English,385,Chicago,Yes,Rec,Rec,Yes,"January 1, 2016",N/A,N/A,N/A
2,Eldest,Christopher Paolini,Fiction,No,Yes,Spanish,824,Chicago,Yes!,Yes,Rec,Yes,"January 1, 2016",N/A,N/A,N/A
2,The Da Vinci Code,Dab Brown,Fiction,No,Yes,English,454,Chicago,Yes,Yes,Yes,Yes,"January 1, 2016",N/A,N/A,N/A
,Team Of Rivals,Doris Kearns Goodwin,Civil War,No,Yes,English,757,Chicago,Yes,Yes*,Yes,Yes,"January 1, 2016",N/A,N/A,N/A
1,Gods And Generals,Jeff Shaara,Fiction,No,Yes,English,498,Chicago,Yes,Rec,Yes,Yes,"January 1, 2016",N/A,N/A,N/A
,Anne Frank Remembered,Miep Gies with Alison Leslie Gold,WWII,No,Yes,English,252,Chicago,Yes,Rec,Yes,Yes,"January 1, 2016",N/A,N/A,N/A
1,Ross Poldark,Winston Graham,Fiction,No,Yes,English,376,Chicago,Yes,Rec,Yes,Yes,"January 1, 2016",N/A,N/A,N/A
,Muhammad A Prophet For Our Times,Karen Armstrong,Religion,No,Yes,English,214,Chicago,Yes,Rec,Rec,Yes,"August 1, 2018",N/A,N/A,N/A
,The Ugly Renaissance,Alexander Lee,History,No,Yes,English,354,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,127 Hours,Aron Ralston,Memior,No,Yes,English,400,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,The Fabric Of The Cosmos,Brian Greene,Science,No,Yes,English,493,Chicago,Yes,Rec,Yes,Yes,"July 1, 2019",N/A,N/A,N/A
,Don Quixote,Cervantes,Classic,No,Yes,English,942,Chicago,Yes,Rec,Yes,Yes,"July 1, 2019",N/A,N/A,N/A
,House Of Rain,Craig Childs,Native Americans,No,Yes,English,445,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,Flags Of Our Fathers,James Bradley,WWII,No,Yes,English,538,Chicago,Yes,Rec,Yes,Yes,"July 1, 2019",N/A,N/A,N/A
,Apollo's Angels,Jennifer Homans,Dance,No,Yes,English,550,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,Gulliver's Travels,Jonathan Swift,Classic,No,Yes,English,295,Chicago,Yes!,Rec,Yes,Yes,"July 1, 2019",N/A,N/A,N/A
,When Montezuma Met Cortes,Matthew Restall,Native Americans,No,Yes,English,354,Boston,Yes!,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,Infamy,Richard Reeves,WWII,No,Yes,English,285,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,The Killing Of Crazy Horse,Thomas Powers,Native Americans,No,Yes,English,467,Chicago,Yes,Rec,Rec,Yes,"July 1, 2019",N/A,N/A,N/A
,Leonard,Willian Shatner & David Fisher,Star Trek,No,Yes,English,275,Chicago,Yes,Rec,Yes,Yes,"July 20, 2019",N/A,N/A,N/A
,Great Expectations,Charles Dickens,Classic,No,Yes,English,493,Chicago,Yes,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,Founding Mothers,Cokie Roberts,American History,No,Yes,English,278,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,The Zookeeper's Wife,Diane Ackerman,WWII,No,Yes,English,323,Chicago,Yes!,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,The Borgias,G.J. Meyer,Biography,No,Yes,English,431,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019",N/A,N/A,N/A
,Through A Window,Jane Goodall,Science,No,Yes,English,291,Chicago,Yes,Rec,Rec,Yes,"October 17, 2019",N/A,N/A,N/A
,Collapse,Jared Diamond,Anthropology,Yes,Yes,English,525,Chicago,Yes,Rec,Yes,Yes,"October 17, 2019","November 4, 2022",1114,3.052054795
